id_unidade_prod,id_equipamento_separacao,id_malha_ref,espec_abertura_malha,dt_manut_componente
PROC_SEC_02,8,1,2.38,2022-10-28
PROC_SEC_02,8,2,1570,2022-10-28
PROC_SEC_02,8,3,1250,2022-10-28
PROC_SEC_02,8,4,1000,2022-10-28
PROC_SEC_02,8,5,700,2022-10-28
PROC_SEC_02,8,6,417,2022-10-28
PROC_SEC_02,8,6,417,2022-11-15
PROC_SEC_02,8,5,766,2022-11-15
PROC_SEC_02,8,4,1000,2022-11-15
PROC_SEC_02,8,3,1250,2022-11-15
PROC_SEC_02,8,2,1570,2022-11-15
PROC_SEC_02,8,1,2500,2022-11-15
PROC_SEC_02,8,1,417,2022-06-23
PROC_SEC_02,8,2,766,2022-06-23
PROC_SEC_02,8,3,1000,2022-06-23
PROC_SEC_02,8,4,1250,2022-06-23
PROC_SEC_02,8,5,1570,2022-06-23
PROC_SEC_02,8,6,2330,2022-06-23
PROC_SEC_02,8,1,2.38,2022-10-28
PROC_SEC_02,8,2,1570,2022-10-28
PROC_SEC_02,8,3,1250,2022-10-28
PROC_SEC_02,8,4,1000,2022-10-28
PROC_SEC_02,8,5,700,2022-10-28
PROC_SEC_02,8,6,417,2022-10-28
PROC_SEC_02,8,6,417,2022-11-15
PROC_SEC_02,8,5,766,2022-11-15
PROC_SEC_02,8,4,1000,2022-11-15
PROC_SEC_02,8,3,1250,2022-11-15
PROC_SEC_02,8,2,1570,2022-11-15
PROC_SEC_02,8,1,2500,2022-11-15
PROC_SEC_02,8,3,1150,2023-10-23
PROC_SEC_02,8,3,1250,2024-10-17
PROC_SEC_02,8,2,1570,2024-10-17
PROC_SEC_02,8,2,1500,2024-10-17
PROC_SEC_02,8,4,1150,2025-03-07
PROC_SEC_01,11,2,1150,2025-07-31
PROC_SEC_01,12,2,1150,2025-07-31
PROC_SEC_01,11,2,1190,2025-07-23
PROC_SEC_01,12,2,1190,2025-07-23
PROC_SEC_01,11,3,700,2025-05-08
PROC_SEC_01,11,2,1150,2025-05-08
PROC_SEC_01,11,3,634,2025-05-07
PROC_SEC_01,11,2,1250,2025-04-07
PROC_SEC_01,12,2,1150,2025-01-24
PROC_SEC_01,11,1,2030,2025-01-21
PROC_SEC_01,12,2,1250,2025-01-21
PROC_SEC_01,11,2,1150,2024-11-22
PROC_SEC_01,12,3,700,2024-11-20
PROC_SEC_01,11,3,700,2024-11-20
PROC_SEC_01,12,1,2170,2024-11-07
PROC_SEC_01,12,2,1150,2024-11-05
PROC_SEC_01,11,3,1070,2024-10-22
PROC_SEC_01,12,2,1250,2024-10-22
PROC_SEC_01,12,3,1070,2024-10-22
PROC_SEC_01,12,2,1030,2024-10-21
PROC_SEC_01,12,3,634,2024-10-17
PROC_SEC_01,11,3,700,2024-10-17
PROC_SEC_01,11,1,2030,2024-09-24
PROC_SEC_01,12,1,2175,2024-09-24
PROC_SEC_01,11,1,2175,2024-05-03
PROC_SEC_01,12,3,1070,2022-11-14
PROC_SEC_01,11,3,1070,2022-11-14
PROC_SEC_01,12,3,1070,2022-11-14
PROC_SEC_01,11,3,1070,2022-11-14
PROC_SEC_01,11,2,1250,2022-10-25
PROC_SEC_01,12,2,1250,2022-10-25
PROC_SEC_01,11,2,1250,2022-10-25
PROC_SEC_01,12,2,1250,2022-10-25
PROC_SEC_01,11,2,1070,2022-10-24
PROC_SEC_01,12,2,1070,2022-10-24
PROC_SEC_01,11,2,1070,2022-10-24
PROC_SEC_01,12,2,1070,2022-10-24
PROC_SEC_01,12,1,2175,2022-10-12
PROC_SEC_01,12,2,1250,2022-10-12
PROC_SEC_01,12,3,700,2022-10-12
PROC_SEC_01,12,4,445,2022-10-12
PROC_SEC_01,12,5,240,2022-10-12
PROC_SEC_01,11,1,2030,2022-10-12
PROC_SEC_01,11,2,1250,2022-10-12
PROC_SEC_01,11,3,700,2022-10-12
PROC_SEC_01,11,4,445,2022-10-12
PROC_SEC_01,11,5,240,2022-10-12
PROC_SEC_01,12,1,2175,2022-10-12
PROC_SEC_01,12,2,1250,2022-10-12
PROC_SEC_01,12,3,700,2022-10-12
PROC_SEC_01,12,4,445,2022-10-12
PROC_SEC_01,12,5,240,2022-10-12
PROC_SEC_01,11,1,2030,2022-10-12
